Name;Northing;Easting;Elevation;Waypoint;soil_moist;Average_so;F5cm;F10cm;F15cm;Soil_class;O_horizon;Kpa5;Kpa10;Kpa15;Prob;Classified
1004;6760110.3803;467172.71939;257.01229;1004;100;80;30;42;46;4;80;258.059129894;350.027950581;463.322874615;71;2
1005;6760113.75031;467170.37226;256.98109;1005;100;66.5;27;38;50;4;80;281.90289822;382.297712225;429.734261842;67;2
1006;6760117.97176;467166.76743;257.24072;1006;50.3;27;18;21;24;3;25;401.121739851;656.590686203;848.192395967;39;1
1007;6760121.07943;467164.72256;258.14743;1007;15.9;30;9;17;24;2;4;758.778264744;800.855502966;848.192395967;17;1
1008;6760123.88543;467162.30552;258.35915;1008;23;27;15;19;21;2;15;472.65304483;721.130209492;963.153421825;13;1
1001a;6760099.07734;467186.30193;256.95076;1001a;100;36;35;44;46;4;80;227.402856332;336.09328078;463.322874615;80;2
1002a;6760096.9009;467190.01624;257.23808;1002a;35;36;18;19;22;3;16;401.121739851;721.130209492;921.349412422;80;2
1003a;6760095.57399;467192.99879;257.45498;1003a;55;10.5;19;21;23;3;16;382.297712225;656.590686203;883.180534272;74;2
1004a;6760093.82949;467197.13013;258.02695;1004a;17.5;27.5;19;21;22;3;15;382.297712225;656.590686203;921.349412422;5;1
1005a;6760088.49198;467204.28414;259.45699;1005a;14;19.5;13;16;19;3;15;538.681941733;848.192395967;1059.96270676;7;1
1001;6760052.58363;467266.44597;287.93588;1001;100;60;22;40;52;4;18;336.09328078;365.356087362;414.877760039;59;2
1002;6760056.21181;467264.76251;288.83197;1002;32.8;29;17;22;23;3;10;422.160358962;628.721346601;883.180534272;31;1
1003;6760059.04853;467262.85834;290.22759;1003;20.7;38;17;25;31;3;10;422.160358962;558.490610804;666.479806707;8;1
1004;6760061.74609;467261.40772;291.33991;1004;21.2;29;15;25;32;3;10;472.65304483;558.490610804;647.010600715;2;1
2001a;6760104.25299;467309.42925;288.45518;2001a;100;30;26;29;29;4;10;291.073578346;487.45262517;709.446330276;86;2
